,date,time,abstract,sentiment_score
73,2018-05-29,19:38:54+0000,"Rich and technologically advanced, the United States continues to accept a degree of dysfunction that would be intolerable in any other rich society.","{'neg': 0.084, 'neu': 0.479, 'pos': 0.437, 'compound': 0.8957}"
74,2018-05-29,07:00:05+0000,"As women run for Congress and state offices this year, they want to campaign and win on their own terms. Some are coming for their own party. And many are not willing to wait.","{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.7783}"
75,2018-05-28,11:30:38+0000,"The timing is likely a coincidence, experts say, but the moves have renewed questions from critics about President Trump’s potential conflict of interest.","{'neg': 0.2, 'neu': 0.661, 'pos': 0.139, 'compound': -0.1901}"
76,2018-05-27,15:02:12+0000,"As the primary approaches, Franklin Graham brings Jesus — and a conservative political message — to a state with a vast pool of evangelical voters.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,2018-05-26,14:00:11+0000,The party and allied groups are spending more than $4 million on a handful of chaotic congressional races that are critical to Democrats’ strategy to win the House in November.,"{'neg': 0.149, 'neu': 0.676, 'pos': 0.176, 'compound': 0.25}"
78,2018-05-22,17:17:40+0000,"As the country heads for a time when no group makes up a majority, the change may affect white attitudes in far more than racial and economic matters.","{'neg': 0.081, 'neu': 0.879, 'pos': 0.04, 'compound': -0.2732}"
79,2018-05-25,20:34:28+0000,"The president aims to peel back labor protections and curb the power of government unions, which assailed the actions.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,2018-05-25,00:15:24+0000,Influential liberal donors and operatives are working with Never Trump Republicans to blunt what they view as the president’s threat to democracy.,"{'neg': 0.129, 'neu': 0.76, 'pos': 0.11, 'compound': -0.128}"
81,2018-05-25,16:09:26+0000,"The move would allow stalled trade negotiations with China to move forward, but is also likely to provoke an intense backlash on Capitol Hill.","{'neg': 0.178, 'neu': 0.718, 'pos': 0.104, 'compound': -0.4678}"
82,2018-05-25,13:30:05+0000,A federal incentive aimed at builders is at the center of a dispute over whether public agencies can use it — and how they can pass it along.,"{'neg': 0.096, 'neu': 0.816, 'pos': 0.089, 'compound': -0.0516}"
